"","word","freq"
"""lakh","""lakh",1
"""lame","""lame",1
"""last","""last",42
"""latest","""latest",5
"""law","""law",1
"""leader","""leader",2
"""learn","""learn",1
"""legal","""legal",9
"""let","""let",5
"""liabil","""liabil",1
"""liar"",","""liar"",",1
"""licens","""licens",1
"""lie","""lie",1
"""like","""like",7
"""link","""link",1
"""lion","""lion",1
"""list","""list",3
"""listen","""listen",1
"""lodha","""lodha",1
"""logic","""logic",1
"""loksabhaelect","""loksabhaelect",4
"""long","""long",2
"""longer","""longer",1
"""look","""look",6
"""love","""love",3
"""low","""low",1
"""madamgod","""madamgod",1
"""made","""made",1
"""magazin","""magazin",4
"""mahamilavat","""mahamilavat",1
"""mainstream","""mainstream",1
"""major","""major",1
"""make","""make",3
"""mam","""mam",1
"""mamata","""mamata",1
"""man","""man",1
"""mani","""mani",3
"""manmohan","""manmohan",3
"""mark","""mark",1
"""market","""market",1
"""massiv","""massiv",1
"""mast","""mast",1
"""may","""may",2
"""mayb","""mayb",1
"""media","""media",5
"""mediev","""mediev",1
"""merit","""merit",1
"""meritsyou","""meritsyou",1
"""messag","""messag",1
"""might","""might",1
"""mine","""mine",10
"""misconcept"",","""misconcept"",",1
"""mmmm","""mmmm",1
"""modi","""modi",10
"""modionze","""modionze",21
"""moditohgaya","""moditohgaya",1
"""modus","""modus",1
"""moham","""moham",1
"""moment","""moment",1
"""monkey","""monkey",5
"""mr","""mr",4
"""mrs","""mrs",1
"""muan","""muan",1
"""murder","""murder",1
"""muskeel","""muskeel",1
"""muslim","""muslim",3
"""must","""must",4
"""nail","""nail",1
"""naiveh","""naiveh",2
"""namo"",","""namo"",",1
"""ncp","""ncp",1
"""ndtv","""ndtv",2
"""ne"",","""ne"",",1
"""need","""need",8
"""neither","""neither",1
"""never","""never",1
"""new","""new",2
"""new"",","""new"",",1
"""news","""news",1
"""nice","""nice",3
"""nice"",","""nice"",",1
"""nincompoop","""nincompoop",1
"""nitin","""nitin",2
"""nobodi","""nobodi",1
"""none","""none",1
"""nonsens","""nonsens",1
"""nope","""nope",1
"""normal","""normal",1
