"","word","freq"
"barrel","barrel",1
"base","base",3
"bashan","bashan",1
"basic","basic",1
"battl","battl",1
"bc"",","bc"",",1
"bchche","bchche",1
"bcos","bcos",1
"bcoz","bcoz",3
"beach","beach",1
"beat","beat",1
"becam","becam",1
"beco","beco",1
"becom","becom",5
"becom"",","becom"",",1
"becz","becz",2
"bed"",","bed"",",1
"bef"",","bef"",",1
"beg","beg",8
"begin","begin",2
"beh"",","beh"",",1
"beha"",","beha"",",1
"behav","behav",1
"behind","behind",2
"believ","believ",7
"belong","belong",1
"belov","belov",5
"benc"",","benc"",",1
"bengal","bengal",8
"bengal"",","bengal"",",5
"bengalpm","bengalpm",2
"bes"",","bes"",",2
"best","best",12
"beti","beti",1
"bett"",","bett"",",1
"better","better",6
"better"",","better"",",1
"bewaqoof","bewaqoof",1
"bhabhiji","bhabhiji",1
"bhadva","bhadva",1
"bhagao","bhagao",1
"bhagavatam","bhagavatam",1
"bhai","bhai",1
"bhaith","bhaith",1
"bhaiya","bhaiya",1
"bhaiya"",","bhaiya"",",1
"bhakt","bhakt",1
"bhakt"",","bhakt"",",1
"bharat","bharat",3
"bhi","bhi",1
"bhosdkwais"",","bhosdkwais"",",1
"bhrastachaari","bhrastachaari",1
"bhrastachari","bhrastachari",1
"bhusawalsufar","bhusawalsufar",1
"bias","bias",8
"bid","bid",3
"bid"",","bid"",",2
"bidder","bidder",1
"big","big",5
"bigger","bigger",3
"biggest","biggest",1
"bigot","bigot",2
"bigotri","bigotri",1
"bihar","bihar",3
"bijli","bijli",1
"bikal","bikal",1
"bilaspur","bilaspur",2
"bill","bill",2
"bill"",","bill"",",1
"billion","billion",1
"bind","bind",1
"biograph","biograph",1
"biometricaadhaar","biometricaadhaar",1
"birthday","birthday",1
"bit","bit",1
"bitter","bitter",18
"bjp","bjp",162
"bjp"",","bjp"",",6
"bjpled","bjpled",1
"bjps","bjps",3
"black","black",4
"blame","blame",6
"bleed","bleed",4
"bless","bless",34
"bless"",","bless"",",1
"blind","blind",2
"blog","blog",1
"blood","blood",1
"blot","blot",6
"blow"",","blow"",",1
"blown","blown",1
"blr"",","blr"",",1
"blue","blue",1
"bmc","bmc",1
"board","board",3
"board"",","board"",",1
"boe","boe",1
"bofor","bofor",1
"bogi","bogi",1
"bold","bold",3
"bolega","bolega",1
"bolr","bolr",1
"bolt","bolt",1
"bomb","bomb",1
"bombard","bombard",11
"book"",","book"",",1
"boost","boost",1
"bootlick","bootlick",1
"born","born",2
"boss","boss",1
"bother","bother",1
"bound","bound",2
"boundari","boundari",1
"bowlthey","bowlthey",7
"br"",","br"",",3
"brace","brace",1
"braill","braill",1
"brand","brand",1
"brashtachari","brashtachari",2
"bread","bread",1
"breadth","breadth",20
"break","break",1
"bremmer","bremmer",3
"brick"",","brick"",",1
"bride","bride",1
"bridg","bridg",1
"brig","brig",1
"brihanmumbai","brihanmumbai",1
"brilliant","brilliant",1
"brim","brim",1
"bring","bring",6
"britain","britain",1
"british","british",5
"broadcast"",","broadcast"",",1
"brother","brother",9
"brother"",","brother"",",1
"brought","brought",33
"brutal","brutal",1
"bshb","bshb",1
"bu"",","bu"",",1
"build","build",2
"builder","builder",4
"built","built",1
"built"",","built"",",3
"bull","bull",1
"bulli","bulli",6
"bunch","bunch",3
"bura","bura",66
"burden","burden",1
"burn","burn",1
"burnol","burnol",8
"busi","busi",4
"busi"",","busi"",",1
"bust","bust",4
"butcher","butcher",2
"buuu","buuu",1
"buy","buy",4
"buyer","buyer",6
"buyerssavej"",","buyerssavej"",",2
"byee","byee",1
"c"",","c"",",5
"c(""never","c(""never",1
"ca"",","ca"",",3
"cabinet","cabinet",1
"calcul","calcul",2
"call","call",96
"call"",","call"",",1
"calori"",","calori"",",1
"came","came",8
"campaig"",","campaig"",",5
"campaign","campaign",9
"campaign"",","campaign"",",1
"campiagn","campiagn",1
"can","can",49
"canadian","canadian",2
"cancel","cancel",3
"candid","candid",3
"candida"",","candida"",",5
"candidat"",","candidat"",",2
"cant","cant",9
"capit"",","capit"",",1
"capt","capt",1
"captain","captain",1
"caption"",","caption"",",1
"card","card",34
"care","care",3
"care"",","care"",",2
"career","career",2
"carefullylet","carefullylet",1
"carri","carri",1
"cartoon","cartoon",2
"cartoon"",","cartoon"",",1
"case","case",9
"cash","cash",1
"cast","cast",3
"cat","cat",3
"catch","catch",3
"caught","caught",1
"caus","caus",6
"cautious","cautious",3
"cave","cave",1
"cbn","cbn",1
"cc"",","cc"",",1
"celebr","celebr",1
"cell","cell",1
"centr","centr",5
"centrednoemploy"",","centrednoemploy"",",1
"ceremoni","ceremoni",1
"certain","certain",6
"chaar","chaar",1
"chahi"",","chahi"",",1
"chai","chai",1
"chaiwala","chaiwala",1
"chall"",","chall"",",1
"champion","champion",2
"chanc","chanc",2
"chanc"",","chanc"",",1
"chanchal","chanchal",1
"chandigarh","chandigarh",1
"chang","chang",6
"chang"",","chang"",",3
"changedbefor","changedbefor",1
"channel","channel",3
"channel"",","channel"",",1
"character(0)))","character(0)))",1
"character(0),","character(0),",5
"characteris","characteris",1
"charg","charg",4
"charg"",","charg"",",2
"chart","chart",1
"chaukidaar","chaukidaar",2
"chawannichhapchowkidar"",","chawannichhapchowkidar"",",1
"cheap","cheap",1
"cheat"",","cheat"",",1
"cheatedhomebuy"",","cheatedhomebuy"",",1
"cheater","cheater",2
"check","check",5
"cheet","cheet",1
"chehra","chehra",1
"chei"",","chei"",",1
"chest","chest",1
"chidambaram","chidambaram",4
"chief","chief",29
"chief"",","chief"",",7
"children","children",1
"china","china",7
"chipschip","chipschip",1
"chitnison","chitnison",1
"choic","choic",2
"choic"",","choic"",",1
"chokidar","chokidar",1
"choos","choos",1
"chor","chor",7
"chor"",","chor"",",1
"choreograph","choreograph",1
"chosen","chosen",1
"choudhri","choudhri",1
"chowkidaari","chowkidaari",1
"chowkidar","chowkidar",7
