"","word","freq"
"action","action",2
"action"",","action"",",1
"activ","activ",1
"adami","adami",1
"adarshscam","adarshscam",1
"add","add",4
"addict","addict",2
"addict"",","addict"",",1
"addit","addit",1
"address","address",94
"admir","admir",4
"admit","admit",36
"advanc","advanc",2
"advic","advic",2
"advicefir","advicefir",1
"advisor","advisor",1
"advisor"",","advisor"",",4
"affair","affair",2
"afraid","afraid",1
"againin","againin",2
"againth","againth",1
"agenda","agenda",1
"agent","agent",1
"agre","agre",3
"ahead","ahead",2
"aid","aid",1
"aimanzehra","aimanzehra",2
"air","air",31
"aircraft","aircraft",1
"airlin","airlin",1
"airport","airport",1
"aiyar","aiyar",2
"akshay","akshay",2
"akshayatritiya","akshayatritiya",1
"alien","alien",1
"alleg","alleg",2
"alli","alli",19
"allianc","allianc",4
"allow","allow",13
"alltim","alltim",1
"almost","almost",3
"almost"",","almost"",",1
"along","along",15
"aloo"",","aloo"",",1
"alreadi","alreadi",25
"alreadi"",","alreadi"",",1
"also","also",15
"also"",","also"",",2
"alternativebal","alternativebal",2
"alver","alver",1
"alwar","alwar",1
"alway","alway",16
"alway"",","alway"",",22
"amaz","amaz",1
"amaz"",","amaz"",",1
"ambani","ambani",2
"amethi","amethi",2
"amethi"",","amethi"",",2
"amethior","amethior",1
"ami","ami",2
"ampnitishjithey","ampnitishjithey",18
"ampsaid","ampsaid",1
"ampth","ampth",4
"amrind","amrind",24
"analysi","analysi",3
"anger","anger",1
"ani","ani",2
"anil","anil",2
"anilambani","anilambani",1
"annex","annex",2
"anniversari","anniversari",2
"anniversari"",","anniversari"",",6
"anoth","anoth",1
"anotherdo","anotherdo",1
"answer","answer",6
"answer"",","answer"",",11
"anti","anti",1
"antimuslim","antimuslim",10
"antisikh","antisikh",7
"anyay","anyay",1
"anyay"",","anyay"",",1
"anybod"",","anybod"",",1
"anymor","anymor",2
"anymorebjpparti"",","anymorebjpparti"",",1
"anyon","anyon",2
"anyrh","anyrh",1
"anyth","anyth",7
"anyway","anyway",1
"ap"",","ap"",",2
"apart","apart",3
"apna","apna",1
"apolog","apolog",33
"apolog"",","apolog"",",1
"apologis","apologis",160
"apologis"",","apologis"",",13
"apologiseaft","apologiseaft",7
"apologizedand","apologizedand",1
"apoplogis","apoplogis",1
"app"",","app"",",1
"appeal","appeal",2
"appear","appear",2
"applaus","applaus",1
"appoint","appoint",1
"appreci","appreci",26
"approach","approach",2
"approv","approv",1
"april","april",2
"april"",","april"",",1
"ar"",","ar"",",1
"area","area",4
"argument","argument",2
"arjunvelotil","arjunvelotil",1
"arm","arm",2
"armi","armi",2
"armyw","armyw",1
"arnab","arnab",6
"arnab"",","arnab"",",1
"arnabgoswami","arnabgoswami",1
"arnwab","arnwab",1
"around","around",1
"arrest","arrest",1
"arrog","arrog",3
"articl","articl",3
"articl"",","articl"",",1
"arun","arun",4
"arvi"",","arvi"",",1
"asap","asap",2
"asham","asham",1
"ask","ask",29
"ask"",","ask"",",4
"ass","ass",1
"assassin","assassin",1
"assembl","assembl",1
"asso"",","asso"",",1
"assum","assum",2
"assur","assur",1
"assur"",","assur"",",1
"astrolog"",","astrolog"",",1
"ata","ata",1
"atishi","atishi",1
"atleast","atleast",1
"atroc","atroc",1
"att"",","att"",",1
"attack","attack",24
"attackon"",","attackon"",",44
"attempt","attempt",1
"attent","attent",2
"august","august",2
"aunclecan","aunclecan",1
"aunti","aunti",1
"aur","aur",3
"author","author",2
"automat","automat",1
"avoid","avoid",2
"await","await",1
"awar","awar",1
"award","award",2
"away","away",4
"awesom"",","awesom"",",1
"awesomedil","awesomedil",1
"ayu"",","ayu"",",1
"ayushman","ayushman",2
"b"",","b"",",2
"baap","baap",2
"baar","baar",1
"baar"",","baar"",",1
"baat","baat",4
"baba","baba",1
"babi"",","babi"",",1
"babri","babri",1
"babu","babu",3
"babur","babur",2
"bacha","bacha",2
"back","back",48
"back"",","back"",",4
"backit","backit",1
"backop","backop",1
"backup","backup",1
"backveri","backveri",1
"bad","bad",9
"bad"",","bad"",",3
"badiya"",","badiya"",",1
"bahot","bahot",1
"bail","bail",2
"bail"",","bail"",",1
"balakot","balakot",31
"balakotairstrik"",","balakotairstrik"",",1
"ballet","ballet",1
"ban","ban",1
"ban"",","ban"",",1
"banan","banan",1
"banaya"",","banaya"",",1
"band","band",1
"bank","bank",2
"bankswith","bankswith",3
"bann","bann",1
"barr"",","barr"",",2
"basava","basava",3
"basavajayanti"",","basavajayanti"",",5
"base","base",1
"basi","basi",1
"basic","basic",2
"bastard","bastard",1
"bata","bata",2
"battlebut","battlebut",3
"bazaar","bazaar",1
"bazarbjp","bazarbjp",1
"bcoz","bcoz",5
"bcz","bcz",1
"beauti","beauti",1
"becausecongresss","becausecongresss",1
"becom","becom",10
"becoz","becoz",1
"bee"",","bee"",",1
"beggar","beggar",1
"beggedcri","beggedcri",1
"begin","begin",1
"behalf","behalf",5
"behalf"",","behalf"",",1
"behaviour","behaviour",1
"behind","behind",3
"belief","belief",1
"believ","believ",9
"believ"",","believ"",",4
"believemodi","believemodi",1
"belong","belong",2
"belov","belov",2
"ben"",","ben"",",1
"bencher"",","bencher"",",1
"bengal","bengal",1
"bengaluru","bengaluru",1
"berozgar","berozgar",1
"besmirch","besmirch",1
"best","best",10
"best"",","best"",",1
"bet"",","bet"",",1
"betray","betray",1
"better","better",11
"better"",","better"",",3
"bewev","bewev",1
"bey"",","bey"",",1
"beyond","beyond",1
"bhabi"",","bhabi"",",1
"bhagwat","bhagwat",1
"bhai","bhai",1
"bhakt","bhakt",6
"bhakt"",","bhakt"",",1
"bhakto"",","bhakto"",",1
"bharat","bharat",6
"bharathuatohua","bharathuatohua",2
"bharatvarsha","bharatvarsha",1
"bharni","bharni",1
"bhi","bhi",2
"bhind","bhind",1
"bhishma","bhishma",1
"bhopal","bhopal",3
"bhopalbjp","bhopalbjp",1
"bhrashtacharino","bhrashtacharino",1
"bhrastachari","bhrastachari",1
"bias","bias",1
"big","big",77
"big"",","big"",",1
"bigger","bigger",3
"biggest","biggest",3
"bigotri"",","bigotri"",",1
"bihar","bihar",4
"bihari","bihari",1
"bikal","bikal",1
"bill","bill",2
"billion","billion",3
"bio"",","bio"",",1
"biodata","biodata",1
"bird","bird",2
"birdst"",","birdst"",",1
"birth","birth",6
"biryani","biryani",1
"bjp","bjp",38
"bjp"",","bjp"",",2
"bjps","bjps",1
"bjpwhi"",","bjpwhi"",",1
"blabber"",","blabber"",",1
"black","black",1
"blahba","blahba",1
"blame","blame",1
"blatant","blatant",1
"bless","bless",1
"bless"",","bless"",",1
"blind","blind",2
"blind"",","blind"",",2
"blitzkrieg","blitzkrieg",1
"blood","blood",2
"blow","blow",3
"blow"",","blow"",",1
"blue","blue",2
"bluf","bluf",4
"blunder","blunder",1
"boast","boast",1
"bodi","bodi",1
"bofor","bofor",4
"boforsjkgovernor","boforsjkgovernor",1
"bogussilli"",","bogussilli"",",1
"bolega","bolega",1
"bollywood","bollywood",1
"bolr","bolr",1
"bolt","bolt",2
"book","book",27
"border","border",1
"bore","bore",1
"bore"",","bore"",",1
"born","born",3
"born"",","born"",",1
"boss","boss",1
"bother","bother",1
"bow","bow",1
"boy","boy",1
"boycott","boycott",1
"brain","brain",3
"brass","brass",26
"brave","brave",2
"braveheart","braveheart",1
"bravest","bravest",1
"break","break",25
"breakingdigvijay","breakingdigvijay",1
"bri"",","bri"",",1
"brilliant","brilliant",2
"bring","bring",3
"brit"",","brit"",",1
"british","british",2
"bro"",","bro"",",1
"broke","broke",1
"broken","broken",1
"brother","brother",11
"brought","brought",1
"brutal","brutal",2
"btw","btw",4
"buddhist","buddhist",2
"budhoo"",","budhoo"",",1
"buffon","buffon",1
"buffoon","buffoon",1
"build","build",1
"bun","bun",1
"bunch","bunch",1
"burn","burn",1
"busi","busi",2
"bussinesswhi","bussinesswhi",1
"butcher","butcher",7
"buy","buy",2
"bye","bye",1
"bynamo","bynamo",1
"c"",","c"",",6
"c(""stop","c(""stop",1
"ca"",","ca"",",32
"cabinetn","cabinetn",1
"cadr","cadr",1
