"","word","freq"
"""saminsultssikh","""saminsultssikh",3
"""sampitroda","""sampitroda",3
"""sampitrodamodijihow","""sampitrodamodijihow",1
"""sashi","""sashi",1
"""savarkar","""savarkar",1
"""save","""save",3
"""say","""say",7
"""sc","""sc",10
"""scam","""scam",1
"""scam"",","""scam"",",1
"""seat","""seat",1
"""see","""see",5
"""seem","""seem",1
"""seen","""seen",1
"""select","""select",1
"""selectiv","""selectiv",1
"""self","""self",1
"""separ","""separ",2
"""serious","""serious",1
"""servil","""servil",1
"""sh","""sh",1
"""shame","""shame",4
"""shame"",","""shame"",",1
"""shameless","""shameless",1
"""share","""share",4
"""shashi","""shashi",1
"""shed","""shed",1
"""short","""short",2
"""shouldnt","""shouldnt",1
"""show","""show",1
"""shree","""shree",1
"""sickularindiathi","""sickularindiathi",1
"""sidhu"",","""sidhu"",",1
"""sikh","""sikh",7
"""silenc","""silenc",1
"""similar","""similar",1
"""similar"",","""similar"",",1
"""simpl","""simpl",3
"""sinc","""sinc",2
"""singl","""singl",1
"""sink","""sink",1
"""sir","""sir",19
"""sirji","""sirji",4
"""slander","""slander",2
"""slave","""slave",1
"""smt","""smt",1
"""someon","""someon",5
"""sorri","""sorri",3
"""sound","""sound",1
"""spare","""spare",1
"""speak","""speak",1
"""speculationnot","""speculationnot",1
"""spineless","""spineless",1
"""st","""st",1
"""stand","""stand",1
"""start","""start",1
"""statement","""statement",1
"""step","""step",1
"""still","""still",5
"""stone","""stone",1
"""stop","""stop",3
"""stori","""stori",3
"""straight","""straight",1
"""strang","""strang",1
"""strong","""strong",3
"""stupend","""stupend",1
"""super","""super",2
"""superbl","""superbl",120
"""support","""support",5
"""sure","""sure",3
"""tackl","""tackl",2
"""tag","""tag",1
"""talk","""talk",1
"""tara","""tara",1
"""teach","""teach",1
"""team","""team",1
"""telangana","""telangana",1
"""tell","""tell",2
"""term","""term",1
"""termin","""termin",1
"""terrorismpakistancorruptionsikhgenocid","""terrorismpakistancorruptionsikhgenocid",1
"""thank","""thank",11
"""thank"",","""thank"",",1
"""thankyou","""thankyou",2
"""thanq","""thanq",1
"""that","""that",6
"""theindiatheyinherit","""theindiatheyinherit",1
"""thi","""thi",1
"""think","""think",2
